Row Labels,VOL 2020
648468,3697
650813,621
650817,46332
652688,1023
654149,408
655237,303
656159,277
657359,2675
657995,508
658553,6550
658595,2106
659248,306
659632,647
660851,411
660863,2627
661158,676
670641,17
672075,1264
672833,1155
675167,5531
676584,966
678870,215
679097,365
681318,909
683214,753
683620,736
684927,6378
684937,477
687392,723
688283,1888
688778,519
689482,469
690107,3274
690888,2464
691234,703
694144,772
696325,408
696897,337
697445,2853
699231,1100
702005,2995
703807,3212
703858,406
704306,1409
704595,5230
707727,238
707765,5123
707811,1972
707974,2035
708575,224
708679,1935
708836,274087
709440,953
710932,338
711318,1053
711956,1246
712132,442
712381,973
715488,251
716949,360
716972,367
718117,3659
718262,2205
719079,4470
719389,1197
719751,231
720383,64506
720407,1271
722327,1808
723017,565
723278,521
723471,153
726326,1020
727562,1
730256,976
730973,1923
731530,580
732454,346
732537,295
733944,1437
735352,166
737062,678
739672,989
739686,201
741676,401
741971,610
742396,5744
742681,569
742791,1005127
743296,1051
745580,665
745947,493
747282,1152
747525,401
748266,27353
749105,3056
749268,521
751109,658
751647,812
751757,269
752624,513
753663,326
753763,856
754531,696
755137,361
757920,68026
758925,2493
759818,492
760817,291
763510,5688
764506,1660
764775,307
765806,913
769411,999
770985,32343
771449,265
771794,657
771796,553
773259,8810
774645,1427
775846,1129
776755,397
777170,1168
778137,1212
778800,719
780180,344
781793,2102
783818,454
784585,3162
785609,3413
786581,327
786754,418
787066,1243
787207,911
788487,3892
788862,2014
789108,646
790143,102
791446,1267
791625,883
792080,678
792169,801
792298,2989
792977,6075
793008,467
794006,820
794547,1050
796792,307
799475,3096
800531,751
803311,1516
804325,7860
804753,741
805611,609
805659,1050
806429,159138
808055,2339
808148,379
810116,1482
811549,6120
813196,2247
814873,625
815936,1408
816459,974
817337,59
820561,150
823286,194
824351,685624
824951,1741
827397,5362
827508,1960
828595,1129
830319,926
830513,34633
830938,2142
831569,297
832038,85
833033,797
835177,716
835479,421
835653,1967
835870,290
835947,435
836437,24403
836626,367
836878,162437
837093,311
837803,2152
842216,1935
842632,11940
842634,620
843763,12334
847595,5976
847697,313
848666,32600
851178,96
851894,637
851995,250
852369,959
853055,1085
853082,1096
853148,501
854749,627
854872,12899
855186,10169
856989,77895
857468,3565
857720,2550
857807,2639
857887,712
858487,8377
858782,404
859193,386
859730,1277
859903,915755
860746,1620
861251,626
861405,1762
862345,77
865032,623
865837,4558
866497,179
867864,220
869557,3089
870019,1260
870788,341
871319,1883
871399,424
874167,497
875759,1633
876509,2053
876558,10893
876734,1675
877159,588
877959,405
878069,8202
878258,1131
878317,102126
878771,12383
879069,312
879156,1156
879386,224
881237,408
882520,289
882876,1290
883541,696
883806,489
884057,1001
885102,4213
885680,820516
885811,1977
885966,6299
886134,1200
886840,26
887972,1068
888355,314
892717,2413
894068,236
894369,163
894561,63
895205,1505
895304,16980
896210,2313
896717,648
896872,779
897261,880
897278,5452
898838,694
899827,15128
900446,351
901944,338
902073,1102753
903876,255
904718,400
905725,2686
905956,987
906211,2481
907223,2121
908519,570
909077,459
909527,254
911064,379
912392,920
912733,1031
913139,707
913855,672
916454,2544
916725,344
918240,60753
920905,316
921255,329
921379,238
921427,2808
921611,429186
922152,731
924375,485
924590,1241
925905,19542
926614,1051
926759,537
927219,153
928563,1239
928575,418
928667,1706
929587,635
930139,831
930482,970
930786,721
931867,437
931980,1240
936134,353
936951,959
937828,543
937860,9314
938287,2346
939820,2182
940268,931
941451,90833
942148,505
943000,909
943901,325
945327,769
948156,993
948971,546
951252,695
952291,13729
952364,1933
952813,1335
953829,204
953854,556
954070,177541
954178,486
954516,16525
954523,2310
954657,534
956321,521
958030,43573
958309,254
959477,315
961252,378
962210,546
962943,407
965295,614
965584,10
966097,31487
966592,511
967700,765
970248,1347
971797,500
972368,877
972598,737
972718,664
973720,3935
975054,414
975328,593
975336,498
976044,557
976180,599
977352,5865
978343,597
979892,644
980193,9
982806,747
983349,820
983904,253
985198,456
985336,542
986495,676
986637,354
987288,5089
989429,276
989822,7135
990621,8855
990926,1097
991844,5366
992027,6984
992405,570
992524,452
993472,1579
993759,480
994361,778
994762,303
995173,315
999141,1114
999362,1072
Grand Total,14619017
